n_samp,kappa,d_effect,method,mean_bias,emp_sd,mean_se,rmse,coverage,active_frac_mean,h_l2_mean,delta_sd,delta_mad,delta_q95,delta_q99,tau_max,l2_rho,l2_M_train,l2_active_train,l2_ok_rate
12000,3.5,2,Fixed TS-AIPW,7.224297105686259e-4,0.037778598660899734,0.0208410995117681,0.0377477148504977,0.72,0.20000383333333333,0.3328511264254297,7.7357920380836696,2.6257419929661996,14.383934486925416,28.187283934348002,0.2,NA,NA,NA,NA
12000,3.5,2,Shrinking quantile TS,0.0019170706851033286,0.07982658150407235,0.058483273538156764,0.07976975434592196,0.904,0.0019365,0.025816583530376296,1.5319699016247838e-13,1.1067314338968375e-12,1.3621309955653385e-12,1.5242083681924287e-12,0.2,NA,NA,NA,NA
12000,3.5,2,L2-grid TS (rho=0.05),0.0012900833828744037,0.05011690414522067,0.04100664298171262,0.0500833803578972,0.884,0.05544866666666667,0.1589769791120313,6.134414749416768,0.8675192616156737,11.323020129759046,25.9000326668193,0.2,0.05,0.018678365142774996,0.05548825,1
12000,3.5,2,L2-grid TS (rho=0.10),0.001243400373981678,0.04978966985487905,0.040562980133381596,0.049755394142739474,0.884,0.05719383333333333,0.16168412991428785,6.178866740180024,0.9427614918392623,11.94896079414933,26.053973792474757,0.2,0.1,0.05146484095710604,0.05725375,1
12000,3.5,2,L2-grid TS (rho=0.20),0.0010563837805620856,0.04937552969106797,0.03984034388308229,0.049337440074458894,0.884,0.06040566666666667,0.16663823231652472,6.2598028652124915,1.0802440402337412,12.046766117506369,26.235629712314868,0.2,0.2,0.13108554035057918,0.060467041666666665,1
12000,3.5,2,L2-grid TS (rho=0.40),8.805207644847495e-4,0.0485022087812903,0.038454255732126484,0.04846168223418617,0.876,0.0662865,0.17527147843254764,6.403156755062235,1.2815903033827016,12.33952927713011,26.51905936958387,0.2,0.4,0.3159763041062071,0.06632075,1
500,3.5,4,AIPW,-2.610544484527919e-4,0.560813296076225,0.2744504186909185,0.5602522629130496,0.838,NA,NA,0,0,0,0,0.2,NA,NA,NA,NA
500,3.5,4,Fixed TS-AIPW,-0.007853933394645457,0.23155015928354314,0.14124281141111064,0.2314517867320822,0.764,0.203088,0.3356319040185283,11.246222501335776,0.9017167006005821,13.472228010580206,35.131071348936615,0.2,NA,NA,NA,NA
500,3.5,4,Shrinking quantile TS,-0.0020820897828165695,0.5435744003384351,0.27262998543167993,0.5430345454423194,0.838,0.020812,0.09393482772630289,0.910517670245551,1.2864243728712045e-10,2.2999710741516218e-10,2.8256432125402573e-10,0.2,NA,NA,NA,NA
500,3.5,4,L2-grid TS (rho=0.05),-0.004158974846950854,0.24451748411828875,0.16885031961416297,0.24430824691613684,0.802,0.157544,0.28782947503940515,10.780312295042409,0.3669768221766967,11.449414667886503,34.23441658744909,0.2,0.05,0.02162207845527424,0.156802,1
500,3.5,4,L2-grid TS (rho=0.10),-0.004333571949124559,0.24418493709748296,0.16803961291675626,0.24397911956585414,0.802,0.16052,0.2910550959728736,10.790032106568077,0.4128246149320964,11.44941466789603,34.234416587449125,0.2,0.1,0.04792047396095281,0.159923,1
500,3.5,4,L2-grid TS (rho=0.20),-0.00461827529299273,0.24343838967056453,0.16651801114282005,0.243238676063139,0.796,0.16514,0.2960071700026839,10.80896170346864,0.4639606816505152,11.449414667905392,34.23441658744067,0.2,0.2,0.10059430785582507,0.16464,1
500,3.5,4,L2-grid TS (rho=0.40),-0.005299360878810707,0.24239894640117252,0.1640653387437916,0.24221440490542584,0.794,0.171404,0.3027911230848454,10.839689748395081,0.5842855307034314,11.490077699276352,34.234416587436975,0.2,0.4,0.19469862197318702,0.170993,1
1500,3.5,4,AIPW,-0.018217947529378425,0.3140977664497215,0.16470832572601682,0.3143119241885512,0.882,NA,NA,0,0,0,0,0.2,NA,NA,NA,NA
1500,3.5,4,Fixed TS-AIPW,-0.006092676130819281,0.12135142737265273,0.07844194522523783,0.12138301895225914,0.778,0.20238533333333333,0.3355364839629966,10.884406010544557,1.4605452866023263,13.01454602407812,53.32892187392764,0.2,NA,NA,NA,NA
1500,3.5,4,Shrinking quantile TS,-0.01821794752865394,0.3140977664497044,0.16470832572605126,0.31431192418849213,0.882,0.007901333333333333,0.05552320922434806,5.705666307685544e-12,2.7373006063986978e-11,3.791888018785353e-11,4.287288116698452e-11,0.2,NA,NA,NA,NA
1500,3.5,4,L2-grid TS (rho=0.05),-0.005082894155450189,0.12847967933603513,0.09873438172831053,0.12845174097411582,0.834,0.11717466666666666,0.24256487100036314,10.31439012360443,0.7532763233796417,11.634036554895903,51.23181300562446,0.2,0.05,0.0260633560064942,0.11713166666666666,1
1500,3.5,4,L2-grid TS (rho=0.10),-0.0049163247277198,0.12798815546870984,0.09766789141045282,0.12795458668305118,0.832,0.12114266666666666,0.2469908348579383,10.354926010767715,0.8244923830293329,11.844530341641342,51.483083301664685,0.2,0.1,0.06387059761502174,0.12102766666666667,1
1500,3.5,4,L2-grid TS (rho=0.20),-0.0047592360415548264,0.12748071350524878,0.09600810260095821,0.1274420651860089,0.83,0.12716266666666667,0.2538573763725981,10.40994662650438,0.9428660029375311,11.944543427407329,51.93601547864978,0.2,0.2,0.14371709142823288,0.12708633333333333,1
